Player,Team,RATT,RYDS,RTDS,REC,CYDS,CTDS,FL,FPTS,POS,RBTrueFPTs,RBRank,VORP,WRTrueFPTs,WRRank,PATT,CMP,PYDS,PTDS,INTS,QBTrueFPTs,QBRank,TETrueFPTs,TERank
D.K. Metcalf,SEA,0.3,1.3,0.0,86.6,1300.6,10.0,1.4,187.1,WR,,,91.955,209.04,6.0,,,,,,,,,
Justin Jefferson,MIN,0.4,1.5,0.0,93.5,1391.6,7.9,0.8,185.2,WR,,,91.40000000000002,208.485,7.0,,,,,,,,,
A.J. Brown,TEN,0.5,7.5,0.0,84.5,1268.3,9.8,0.9,184.4,WR,,,88.61999999999999,205.70499999999998,8.0,,,,,,,,,
Keenan Allen,LAC,3.0,16.3,0.1,111.3,1209.3,7.9,1.0,168.5,WR,,,79.3,196.385,9.0,,,,,,,,,
Mike Evans,TB,0.0,0.0,0.0,76.1,1114.0,9.4,0.7,166.5,WR,,,68.34000000000002,185.425,12.0,,,,,,,,,
Allen Robinson II,CHI,0.3,0.3,0.0,98.6,1227.6,7.0,0.7,163.2,WR,,,70.955,188.04,10.0,,,,,,,,,
Terry McLaurin,WAS,1.8,12.1,0.1,91.6,1235.2,6.5,0.7,162.8,WR,,,68.74500000000002,185.83,11.0,,,,,,,,,
Amari Cooper,DAL,2.6,11.7,0.0,90.4,1195.9,7.2,0.7,162.7,WR,,,68.075,185.16,13.0,,,,,,,,,
Robert Woods,LAR,17.0,106.2,0.9,98.0,1088.2,6.0,0.8,159.2,WR,,,66.65500000000002,183.74,14.0,,,,,,,,,
Adam Thielen,MIN,3.2,14.6,0.3,79.5,1020.9,9.2,0.7,158.8,WR,,,61.94000000000001,179.025,15.0,,,,,,,,,
CeeDee Lamb,DAL,8.4,61.2,0.6,83.9,1090.4,6.6,0.8,156.8,WR,,,60.65000000000002,177.735,16.0,,,,,,,,,
Tyler Lockett,SEA,1.1,2.7,0.0,92.4,1051.2,8.3,0.7,153.9,WR,,,59.80500000000002,176.89000000000001,17.0,,,,,,,,,
Julio Jones,TEN,0.5,-0.5,0.0,78.7,1115.1,7.3,0.7,153.9,WR,,,56.45,173.535,20.0,,,,,,,,,
D.J. Moore,CAR,3.1,20.1,0.1,83.2,1198.8,5.4,0.8,153.4,WR,,,57.00500000000001,174.09,19.0,,,,,,,,,
Cooper Kupp,LAR,3.9,23.6,0.1,93.0,1068.4,7.1,0.7,151.1,WR,,,57.165000000000006,174.25,18.0,,,,,,,,,
Chris Godwin,TB,0.3,2.0,0.0,82.1,1067.8,7.5,0.8,150.1,WR,,,53.82000000000001,170.905,21.0,,,,,,,,,
Courtland Sutton,DEN,1.7,9.4,0.0,74.3,1055.3,6.7,0.8,145.1,WR,,,46.56000000000002,163.645,23.0,,,,,,,,,
Odell Beckham Jr.,CLE,5.7,50.9,0.3,71.1,993.9,6.5,0.7,144.1,WR,,,44.57000000000001,161.655,24.0,,,,,,,,,
Kenny Golladay,NYG,0.0,0.0,0.0,71.3,1055.9,6.6,0.7,144.0,WR,,,44.52999999999999,161.61499999999998,25.0,,,,,,,,,
Tee Higgins,CIN,2.3,12.4,0.0,79.2,1058.2,6.4,0.8,144.0,WR,,,46.57500000000006,163.66000000000005,22.0,,,,,,,,,
Ja'Marr Chase,CIN,1.5,8.2,0.0,73.1,1058.0,6.2,1.2,141.3,WR,,,42.61,159.695,27.0,,,,,,,,,
Brandon Aiyuk,SF,14.6,82.4,0.7,72.1,915.2,6.3,0.7,140.2,WR,,,41.3,158.385,28.0,,,,,,,,,
Chase Claypool,PIT,8.3,44.2,0.6,69.7,893.5,6.8,0.9,136.7,WR,,,36.709999999999994,153.795,30.0,,,,,,,,,
Diontae Johnson,PIT,4.4,27.3,0.1,94.0,982.5,6.3,1.4,136.3,WR,,,42.99499999999999,160.07999999999998,26.0,,,,,,,,,
Brandin Cooks,HOU,0.8,6.8,0.0,75.2,1050.7,5.3,0.7,136.0,WR,,,37.86500000000002,154.95000000000002,29.0,,,,,,,,,
D.J. Chark Jr.,JAC,0.3,3.3,0.0,73.5,980.8,6.3,0.6,134.6,WR,,,36.300000000000026,153.38500000000002,31.0,,,,,,,,,
Deebo Samuel,SF,13.5,99.2,0.7,70.5,898.5,4.7,0.8,130.7,WR,,,31.110000000000028,148.19500000000002,34.0,,,,,,,,,
Robby Anderson,CAR,2.5,12.3,0.1,80.4,991.3,5.2,0.8,130.6,WR,,,33.574999999999974,150.65999999999997,33.0,,,,,,,,,
JuJu Smith-Schuster,PIT,0.0,0.0,0.0,89.4,903.2,6.7,0.9,128.7,WR,,,33.985,151.07,32.0,,,,,,,,,
Michael Gallup,DAL,0.0,0.0,0.0,64.2,942.3,5.9,0.6,128.4,WR,,,27.395000000000024,144.48000000000002,36.0,,,,,,,,,
Jerry Jeudy,DEN,0.0,0.0,0.0,68.9,981.2,5.2,0.8,127.7,WR,,,27.86,144.945,35.0,,,,,,,,,
Marquise Brown,BAL,1.5,8.0,0.0,61.1,825.1,7.0,0.6,124.2,WR,,,22.300000000000026,139.38500000000002,38.0,,,,,,,,,
Tyler Boyd,CIN,2.1,15.7,0.0,83.0,923.1,5.2,0.8,123.9,WR,,,27.144999999999996,144.23,37.0,,,,,,,,,
Mike Williams,LAC,0.3,0.5,0.0,55.2,902.2,5.4,0.6,121.5,WR,,,18.185000000000045,135.27000000000004,42.0,,,,,,,,,
Laviska Shenault Jr.,JAC,19.2,106.5,0.5,71.9,791.0,5.0,0.7,121.2,WR,,,22.240000000000023,139.32500000000002,39.0,,,,,,,,,
Jarvis Landry,CLE,1.9,9.9,0.3,73.5,884.9,5.1,0.8,120.4,WR,,,21.570000000000036,138.65500000000003,40.0,,,,,,,,,
Curtis Samuel,WAS,24.7,128.6,1.1,62.4,734.9,4.8,0.7,120.4,WR,,,18.864999999999995,135.95,41.0,,,,,,,,,
DeVante Parker,MIA,0.0,0.0,0.0,67.2,856.7,5.7,0.7,118.8,WR,,,18.185000000000016,135.27,43.0,,,,,,,,,
DeVonta Smith,PHI,1.0,6.2,0.0,63.3,889.9,4.8,1.2,116.2,WR,,,14.750000000000014,131.835,46.0,,,,,,,,,
Michael Thomas,NO,0.3,-0.8,0.0,74.0,881.7,4.9,0.7,116.0,WR,,,17.50500000000001,134.59,44.0,,,,,,,,,
Will Fuller V,MIA,0.0,0.0,0.0,66.5,848.3,5.3,0.6,115.4,WR,,,14.970000000000013,132.055,45.0,,,,,,,,,
T.Y. Hilton,IND,0.0,0.0,0.0,62.5,827.1,5.4,0.6,114.0,WR,,,12.450000000000031,129.53500000000003,47.0,,,,,,,,,
Marvin Jones Jr.,JAC,0.3,0.0,0.0,62.1,787.4,5.4,0.6,109.9,WR,,,8.380000000000024,125.46500000000002,48.0,,,,,,,,,
Corey Davis,NYJ,0.0,0.0,0.0,67.3,873.5,3.8,0.8,108.7,WR,,,8.29000000000002,125.37500000000001,49.0,,,,,,,,,
Mecole Hardman,KC,6.4,43.8,0.1,52.4,732.1,5.5,1.7,108.0,WR,,,3.8049999999999926,120.88999999999999,50.0,,,,,,,,,
Antonio Brown,TB,2.0,11.4,0.0,61.5,686.9,6.0,0.6,104.4,WR,,,2.9200000000000017,120.005,52.0,,,,,,,,,
Darnell Mooney,CHI,2.7,15.5,0.0,64.6,768.2,4.5,0.7,104.2,WR,,,3.0349999999999966,120.11999999999999,51.0,,,,,,,,,
Jaylen Waddle,MIA,1.0,5.6,0.0,57.1,764.5,4.7,1.2,102.7,WR,,,1.4210854715202004e-14,117.08500000000001,53.0,,,,,,,,,
Breshad Perriman,DET,1.7,9.9,0.0,53.3,774.8,4.0,0.1,102.6,WR,,,-1.4899999999999949,115.595,54.0,,,,,,,,,
Henry Ruggs III,LV,7.6,42.0,0.1,49.2,758.6,4.1,1.7,102.3,WR,,,-2.9250000000000114,114.15999999999998,57.0,,,,,,,,,
Michael Pittman Jr.,IND,3.4,22.7,0.0,57.7,753.2,4.0,0.7,100.3,WR,,,-2.469999999999999,114.615,56.0,,,,,,,,,
Tyrell Williams,DET,0.0,0.0,0.0,53.6,774.7,4.0,0.7,100.0,WR,,,-3.6149999999999807,113.47000000000001,59.0,,,,,,,,,
Cole Beasley,BUF,0.0,0.0,0.0,64.0,738.9,4.4,0.6,99.2,WR,,,-1.9949999999999903,115.09,55.0,,,,,,,,,
Emmanuel Sanders,BUF,1.1,6.7,0.1,57.1,697.1,5.0,0.6,99.2,WR,,,-3.029999999999987,114.055,58.0,,,,,,,,,
Nelson Agholor,NE,0.3,1.3,0.0,51.3,724.1,4.4,0.7,97.7,WR,,,-6.719999999999985,110.36500000000001,61.0,,,,,,,,,
Russell Gage,ATL,1.3,6.1,0.0,66.6,724.4,4.1,0.6,96.3,WR,,,-3.9849999999999994,113.1,60.0,,,,,,,,,
Jalen Reagor,PHI,3.1,17.5,0.1,53.8,724.0,3.8,0.7,96.1,WR,,,-7.484999999999999,109.6,62.0,,,,,,,,,
Tre'Quan Smith,NO,0.3,0.5,0.0,44.4,633.5,5.3,0.1,95.0,WR,,,-10.985,106.1,63.0,,,,,,,,,
Gabriel Davis,BUF,0.3,0.0,0.0,42.7,630.4,5.0,0.1,92.9,WR,,,-13.570000000000007,103.51499999999999,65.0,,,,,,,,,
Elijah Moore,NYJ,0.7,4.2,0.0,56.3,682.0,3.7,0.4,90.4,WR,,,-12.98999999999998,104.09500000000001,64.0,,,,,,,,,
A.J. Green,ARI,0.0,0.0,0.0,51.7,633.8,4.2,0.7,87.0,WR,,,-16.980000000000004,100.10499999999999,67.0,,,,,,,,,
Sterling Shepard,NYG,3.3,26.1,0.3,60.6,617.6,3.5,0.6,86.1,WR,,,-15.96499999999999,101.12,66.0,,,,,,,,,
Randall Cobb,GB,1.5,7.6,0.0,50.6,612.5,3.8,0.7,83.6,WR,,,-21.02499999999999,96.06,68.0,,,,,,,,,
Rondale Moore,ARI,1.1,6.1,0.0,51.9,639.7,3.3,1.2,82.5,WR,,,-22.129999999999995,94.955,69.0,,,,,,,,,
Jamison Crowder,NYJ,0.3,3.3,0.0,53.1,594.6,3.6,0.6,80.0,WR,,,-23.61999999999999,93.465,70.0,,,,,,,,,
Christian Kirk,ARI,3.9,26.9,0.0,45.0,544.8,3.8,0.6,79.4,WR,,,-27.064999999999998,90.02,73.0,,,,,,,,,
DeSean Jackson,LAR,2.8,17.1,0.1,35.6,561.9,3.6,0.6,78.9,WR,,,-29.28500000000001,87.79999999999998,76.0,,,,,,,,,
Parris Campbell,IND,4.8,30.1,0.2,45.4,549.6,3.4,0.4,78.6,WR,,,-26.964999999999975,90.12000000000002,71.0,,,,,,,,,
John Brown,LV,0.3,1.0,0.0,43.9,593.7,3.3,0.6,78.3,WR,,,-28.040000000000006,89.04499999999999,74.0,,,,,,,,,
Jakobi Meyers,NE,0.8,4.1,0.0,47.9,610.7,2.9,0.4,78.1,WR,,,-27.03,90.05499999999999,72.0,,,,,,,,,
Rashod Bateman,BAL,0.8,4.8,0.0,41.1,543.2,4.1,0.6,78.0,WR,,,-28.609999999999985,88.47500000000001,75.0,,,,,,,,,
Darius Slayton,NYG,0.8,2.6,0.0,42.3,570.6,3.5,0.6,77.1,WR,,,-29.389999999999986,87.69500000000001,77.0,,,,,,,,,
Allen Lazard,GB,1.3,9.7,0.0,40.8,551.3,3.7,0.6,77.0,WR,,,-29.784999999999997,87.3,78.0,,,,,,,,,
Terrace Marshall Jr.,CAR,0.5,2.8,0.0,44.6,582.4,3.2,1.1,75.6,WR,,,-30.414999999999992,86.67,79.0,,,,,,,,,
Marquez Callaway,NO,0.0,0.0,0.0,41.4,507.1,3.1,0.3,68.7,WR,,,-38.02499999999999,79.06,80.0,,,,,,,,,
Van Jefferson,LAR,1.4,5.8,0.0,39.3,475.2,3.3,0.1,68.2,WR,,,-39.56,77.52499999999999,82.0,,,,,,,,,
Hunter Renfrow,LV,0.0,0.0,0.0,42.4,510.4,2.9,0.6,67.2,WR,,,-39.245000000000005,77.83999999999999,81.0,,,,,,,,,
Anthony Miller,HOU,2.2,10.3,0.1,41.9,499.3,2.7,0.7,66.4,WR,,,-40.25,76.835,83.0,,,,,,,,,
Sammy Watkins,BAL,0.8,7.5,0.0,36.9,454.3,3.5,0.6,65.9,WR,,,-41.879999999999995,75.205,84.0,,,,,,,,,
Josh Reynolds,TEN,0.8,4.5,0.0,36.1,469.5,3.1,0.6,64.8,WR,,,-43.25999999999998,73.82500000000002,85.0,,,,,,,,,
Marquez Valdes-Scantling,GB,2.5,14.8,0.0,25.7,438.1,3.3,0.6,64.4,WR,,,-46.769999999999996,70.315,88.0,,,,,,,,,
Chris Conley,HOU,0.0,0.0,0.0,34.7,489.1,2.6,0.6,63.3,WR,,,-45.099999999999994,71.985,86.0,,,,,,,,,
Keelan Cole Sr.,NYJ,0.0,0.0,0.0,37.0,475.9,2.6,0.5,62.5,WR,,,-45.644999999999996,71.44,87.0,,,,,,,,,
Denzel Mims,NYJ,0.3,0.8,0.0,33.7,477.7,2.3,0.1,61.7,WR,,,-47.209999999999994,69.875,89.0,,,,,,,,,
James Washington,PIT,0.0,0.0,0.0,33.3,452.2,2.9,0.6,61.5,WR,,,-47.34,69.74499999999999,90.0,,,,,,,,,
Amon-Ra St. Brown,DET,0.0,0.0,0.0,38.1,461.0,2.3,0.2,59.6,WR,,,-48.06,69.02499999999999,91.0,,,,,,,,,
Rashard Higgins,CLE,0.0,0.0,0.0,28.8,432.1,2.9,0.6,59.3,WR,,,-50.474999999999994,66.61,93.0,,,,,,,,,
Demarcus Robinson,KC,0.0,0.0,0.0,34.2,410.8,3.2,0.6,59.1,WR,,,-49.454999999999984,67.63000000000001,92.0,,,,,,,,,
D'Wayne Eskridge,SEA,1.5,8.1,0.1,33.1,403.8,2.8,0.2,58.0,WR,,,-50.620000000000005,66.46499999999999,94.0,,,,,,,,,
Zach Pascal,IND,0.3,2.0,0.0,28.2,382.7,3.1,0.0,56.8,WR,,,-52.96499999999999,64.12,96.0,,,,,,,,,
Jalen Guyton,LAC,2.0,7.9,0.1,27.4,419.5,2.3,0.1,56.6,WR,,,-53.294999999999995,63.79,97.0,,,,,,,,,
Bryan Edwards,LV,0.0,0.0,0.0,30.1,416.4,2.4,0.2,55.6,WR,,,-53.919999999999995,63.165,98.0,,,,,,,,,
Geronimo Allison,DET,0.0,0.0,0.0,38.9,419.4,2.3,0.0,55.4,WR,,,-51.620000000000005,65.46499999999999,95.0,,,,,,,,,
Josh Palmer,LAC,1.0,6.0,0.0,30.0,416.7,2.5,1.0,55.2,WR,,,-54.315,62.769999999999996,99.0,,,,,,,,,
KJ Hamler,DEN,8.9,43.9,0.2,30.2,361.5,2.4,0.6,54.5,WR,,,-54.595,62.489999999999995,100.0,,,,,,,,,
Nico Collins,HOU,0.0,0.0,0.0,31.0,418.9,2.1,0.3,54.2,WR,,,-55.44499999999999,61.64,101.0,,,,,,,,,
Kadarius Toney,NYG,6.6,39.9,0.2,29.6,353.4,1.9,0.3,51.4,WR,,,-58.355,58.73,102.0,,,,,,,,,
Tim Patrick,DEN,0.0,0.0,0.0,28.4,375.2,2.5,0.6,51.2,WR,,,-58.66499999999999,58.42,103.0,,,,,,,,,
Olamide Zaccheaus,ATL,0.3,1.4,0.0,27.0,394.3,2.0,0.1,51.1,WR,,,-58.96499999999999,58.120000000000005,104.0,,,,,,,,,
Keke Coutee,HOU,0.7,3.7,0.3,34.2,391.4,2.0,2.2,49.1,WR,,,-59.625,57.459999999999994,105.0,,,,,,,,,
Preston Williams,MIA,0.0,0.0,0.0,24.5,314.7,2.9,0.6,47.9,WR,,,-63.29,53.794999999999995,108.0,,,,,,,,,
Kendrick Bourne,NE,0.0,0.0,0.0,28.6,363.0,1.9,0.1,47.6,WR,,,-62.434999999999995,54.65,107.0,,,,,,,,,
Mohamed Sanu,SF,1.3,5.7,0.0,33.9,352.2,2.1,0.5,47.1,WR,,,-61.21999999999999,55.865,106.0,,,,,,,,,
Deonte Harris,NO,7.3,47.8,0.1,27.5,311.4,1.6,0.2,46.1,WR,,,-64.48999999999998,52.595000000000006,109.0,,,,,,,,,
Tyron Johnson,LAC,2.3,13.0,0.0,19.9,311.3,2.1,0.1,45.2,WR,,,-67.28,49.805,111.0,,,,,,,,,
Dyami Brown,WAS,0.0,0.0,0.0,23.3,324.6,1.8,0.2,42.7,WR,,,-68.39999999999998,48.68500000000001,112.0,,,,,,,,,
Adam Humphries,WAS,0.0,0.0,0.0,30.3,330.9,1.6,0.1,42.4,WR,,,-67.02,50.065,110.0,,,,,,,,,
Richie James Jr.,SF,0.8,0.0,0.0,23.8,364.3,1.5,2.1,41.1,WR,,,-69.905,47.18,113.0,,,,,,,,,
Byron Pringle,KC,0.0,0.0,0.0,22.6,290.1,2.0,0.2,40.8,WR,,,-70.82499999999999,46.260000000000005,114.0,,,,,,,,,
Quintez Cephus,DET,0.0,0.0,0.0,23.9,316.6,1.5,0.2,40.2,WR,,,-70.85,46.23500000000001,115.0,,,,,,,,,
Damiere Byrd,CHI,0.3,2.0,0.0,26.7,304.7,1.5,0.6,38.8,WR,,,-71.94,45.144999999999996,116.0,,,,,,,,,
Travis Fulgham,PHI,0.0,0.0,0.0,22.4,290.2,1.6,0.1,38.5,WR,,,-73.065,44.02,117.0,,,,,,,,,
Scotty Miller,TB,1.4,7.7,0.1,17.0,244.7,1.8,0.1,36.5,WR,,,-76.395,40.69,119.0,,,,,,,,,
Isaiah McKenzie,BUF,5.7,28.5,0.2,18.9,200.7,1.9,0.1,35.5,WR,,,-77.03999999999999,40.045,120.0,,,,,,,,,
Tutu Atwell,LAR,0.0,0.0,0.0,21.3,276.9,1.4,0.2,35.5,WR,,,-76.07,41.015,118.0,,,,,,,,,
Isaiah Coulter,HOU,1.0,4.0,0.0,18.3,275.6,1.5,1.0,35.0,WR,,,-77.54999999999998,39.535000000000004,121.0,,,,,,,,,
Auden Tate,CIN,0.0,0.0,0.0,20.7,261.6,1.4,0.1,34.5,WR,,,-77.55,39.535,122.0,,,,,,,,,
Amari Rodgers,GB,2.0,12.4,0.1,18.0,221.4,1.3,0.1,31.5,WR,,,-81.005,36.08,123.0,,,,,,,,,
Donovan Peoples-Jones,CLE,0.0,0.0,0.0,17.1,225.5,1.2,0.1,29.8,WR,,,-83.25999999999999,33.824999999999996,124.0,,,,,,,,,
Collin Johnson,JAC,0.0,0.0,0.0,17.9,212.9,1.1,0.1,27.6,WR,,,-84.91999999999999,32.165,126.0,,,,,,,,,
Greg Ward,PHI,0.0,0.0,0.0,21.1,208.9,1.2,0.2,27.4,WR,,,-84.11999999999999,32.965,125.0,,,,,,,,,
N'Keal Harry,NE,0.9,5.6,0.0,15.4,187.0,1.3,0.1,27.3,WR,,,-86.375,30.71,128.0,,,,,,,,,
Devin Duvernay,BAL,1.7,11.7,0.0,17.0,188.1,1.2,0.1,27.3,WR,,,-85.85499999999999,31.23,127.0,,,,,,,,,
Dez Fitzpatrick,TEN,0.0,0.0,0.0,15.4,200.3,1.0,0.1,25.9,WR,,,-87.40499999999999,29.680000000000003,129.0,,,,,,,,,
Marquise Goodwin,CHI,0.0,0.0,0.0,15.0,197.9,1.0,0.1,25.8,WR,,,-87.74499999999999,29.340000000000003,131.0,,,,,,,,,
Freddie Swain,SEA,0.0,0.0,0.0,14.0,175.7,1.4,0.1,25.7,WR,,,-87.815,29.27,132.0,,,,,,,,,
Ty Montgomery,NO,8.5,39.0,0.1,14.8,155.4,1.0,0.1,25.6,WR,,,-87.54499999999999,29.540000000000003,130.0,,,,,,,,,
Phillip Dorsett II,JAC,0.0,0.0,0.0,14.2,172.7,1.1,0.1,23.7,WR,,,-89.865,27.220000000000002,133.0,,,,,,,,,
David Moore,CAR,1.2,7.7,0.0,11.8,162.6,1.0,0.1,22.9,WR,,,-91.30499999999999,25.78,134.0,,,,,,,,,
Willie Snead IV,LV,0.0,0.0,0.0,14.4,167.7,0.9,0.1,21.9,WR,,,-91.51499999999999,25.570000000000004,135.0,,,,,,,,,
Dede Westbrook,MIN,0.7,3.6,0.0,12.0,127.7,1.0,0.1,19.1,WR,,,-95.15499999999999,21.930000000000003,136.0,,,,,,,,,
KeeSean Johnson,ARI,0.0,0.0,0.0,10.7,122.2,1.0,0.0,18.2,WR,,,-96.19,20.895,137.0,,,,,,,,,
Andy Isabella,ARI,0.0,0.0,0.0,11.0,136.6,0.7,0.0,17.9,WR,,,-96.475,20.61,138.0,,,,,,,,,
Christian Blake,ATL,0.0,0.0,0.0,12.5,146.4,0.5,0.1,17.5,WR,,,-96.52,20.565,139.0,,,,,,,,,
Ray-Ray McCloud,PIT,3.0,19.1,0.1,11.3,113.5,0.7,0.2,17.3,WR,,,-96.6,20.485000000000003,140.0,,,,,,,,,
Lynn Bowden Jr.,MIA,10.2,49.3,0.2,10.8,98.8,0.2,0.1,17.3,WR,,,-97.375,19.71,141.0,,,,,,,,,
Miles Boykin,BAL,0.8,4.9,0.0,9.1,123.5,0.7,0.1,17.1,WR,,,-97.97,19.115,142.0,,,,,,,,,
Cedrick Wilson,DAL,0.0,0.0,0.0,9.7,126.8,0.7,0.1,16.6,WR,,,-97.97999999999999,19.105,143.0,,,,,,,,,
Chris Moore,HOU,0.0,0.0,0.0,10.5,120.8,0.7,0.0,16.3,WR,,,-98.17999999999999,18.905,144.0,,,,,,,,,
Javon Wims,CHI,0.0,0.0,0.0,9.6,122.4,0.5,0.1,15.2,WR,,,-99.645,17.44,145.0,,,,,,,,,
Tyler Johnson,TB,0.0,0.0,0.0,8.0,102.3,0.8,0.0,14.7,WR,,,-100.05499999999999,17.03,146.0,,,,,,,,,
Jamal Agnew,JAC,6.2,34.0,0.2,6.8,75.5,0.4,0.1,14.6,WR,,,-101.035,16.05,149.0,,,,,,,,,
Jeff Smith,NYJ,0.0,0.0,0.0,9.6,107.1,0.6,0.0,14.4,WR,,,-100.375,16.71,147.0,,,,,,,,,
Noah Brown,DAL,0.0,0.0,0.0,8.6,106.1,0.6,0.1,14.3,WR,,,-100.925,16.16,148.0,,,,,,,,,
Cameron Batson,TEN,2.5,14.9,0.1,7.2,80.0,0.6,0.1,13.5,WR,,,-101.79499999999999,15.290000000000001,151.0,,,,,,,,,
Chad Beebe,MIN,0.0,0.0,0.0,7.9,96.1,0.7,0.1,13.3,WR,,,-101.5,15.584999999999999,150.0,,,,,,,,,
Andre Roberts,HOU,0.0,0.0,0.0,7.8,101.5,0.5,0.0,13.1,WR,,,-101.985,15.1,153.0,,,,,,,,,
Cam Sims,WAS,0.0,0.0,0.0,7.6,102.8,0.5,0.0,13.1,WR,,,-101.90499999999999,15.180000000000001,152.0,,,,,,,,,
Mike Thomas,CIN,0.0,0.0,0.0,7.5,93.7,0.6,0.1,12.7,WR,,,-102.44,14.645000000000001,154.0,,,,,,,,,
Frank Darby,ATL,0.0,0.0,0.0,7.3,92.4,0.5,0.0,11.9,WR,,,-103.02,14.065,155.0,,,,,,,,,
Chris Hogan,NO,0.0,0.0,0.0,6.3,84.8,0.6,0.0,11.8,WR,,,-103.42999999999999,13.655,156.0,,,,,,,,,
Alex Erickson,HOU,0.0,0.0,0.0,7.9,92.5,0.4,0.1,11.7,WR,,,-103.66,13.425,159.0,,,,,,,,,
Penny Hart,SEA,1.8,9.3,0.0,6.3,73.8,0.5,0.0,11.7,WR,,,-104.19999999999999,12.884999999999998,161.0,,,,,,,,,
Kalif Raymond,DET,0.0,0.0,0.0,7.5,101.1,0.3,0.1,11.7,WR,,,-103.5,13.585,157.0,,,,,,,,,
Anthony Schwartz,CLE,0.0,0.0,0.0,6.8,82.4,0.6,0.0,11.5,WR,,,-103.54499999999999,13.54,158.0,,,,,,,,,
Juwan Johnson,NO,0.0,0.0,0.0,7.8,103.7,0.1,0.0,10.7,WR,,,-104.16499999999999,12.92,160.0,,,,,,,,,
DaeSean Hamilton,DEN,0.0,0.0,0.0,7.3,75.2,0.5,0.0,10.4,WR,,,-104.74,12.344999999999999,162.0,,,,,,,,,
Steven Sims Jr.,WAS,0.0,0.0,0.0,6.0,75.2,0.4,0.0,10.0,WR,,,-105.66499999999999,11.420000000000002,163.0,,,,,,,,,
Nick Westbrook-Ikhine,TEN,0.0,0.0,0.0,5.3,70.4,0.4,0.0,9.6,WR,,,-106.32,10.765,165.0,,,,,,,,,
Jalen Hurd,SF,4.7,28.8,0.2,3.3,41.3,0.3,0.1,9.5,WR,,,-106.44999999999999,10.635000000000002,167.0,,,,,,,,,
Antonio Gandy-Golden,WAS,1.0,5.8,0.0,4.9,64.9,0.4,0.0,9.4,WR,,,-106.38999999999999,10.695,166.0,,,,,,,,,
Albert Wilson,MIA,1.6,8.8,0.0,6.0,61.9,0.4,0.0,9.4,WR,,,-106.115,10.97,164.0,,,,,,,,,
John Ross,NYG,0.7,3.9,0.0,4.3,56.6,0.5,0.1,9.2,WR,,,-107.16,9.925,168.0,,,,,,,,,
Tajae Sharpe,ATL,0.0,0.0,0.0,4.7,58.7,0.4,0.0,8.0,WR,,,-107.63999999999999,9.445000000000002,169.0,,,,,,,,,
Shi Smith,CAR,0.0,0.0,0.0,5.1,62.6,0.3,0.0,7.8,WR,,,-107.75,9.335,170.0,,,,,,,,,
Lil'Jordan Humphrey,NO,0.0,0.0,0.0,4.2,54.7,0.3,0.0,7.5,WR,,,-108.76499999999999,8.32,171.0,,,,,,,,,
Diontae Spencer,DEN,2.4,13.6,0.1,3.6,40.1,0.2,0.0,7.2,WR,,,-109.01499999999999,8.070000000000002,173.0,,,,,,,,,
Cornell Powell,KC,0.0,0.0,0.0,3.8,48.5,0.3,0.0,6.8,WR,,,-109.485,7.6000000000000005,177.0,,,,,,,,,
Simi Fehoko,DAL,0.0,0.0,0.0,3.9,50.6,0.3,0.0,6.8,WR,,,-109.25,7.835,174.0,,,,,,,,,
Victor Bolden Jr.,DET,0.0,0.0,0.0,4.6,52.1,0.3,0.0,6.8,WR,,,-108.925,8.16,172.0,,,,,,,,,
Ihmir Smith-Marsette,MIN,0.0,0.0,0.0,4.6,60.7,0.1,0.0,6.8,WR,,,-109.26499999999999,7.82,175.0,,,,,,,,,
Tylan Wallace,BAL,0.0,0.0,0.0,3.5,45.7,0.3,0.0,6.6,WR,,,-109.83999999999999,7.245,181.0,,,,,,,,,
Isaiah Hodgins,BUF,0.0,0.0,0.0,3.7,46.9,0.3,0.0,6.6,WR,,,-109.66999999999999,7.415,179.0,,,,,,,,,
Jaelon Darden,TB,0.0,0.0,0.0,4.2,48.0,0.3,0.0,6.5,WR,,,-109.43499999999999,7.65,176.0,,,,,,,,,
Marcus Johnson,TEN,0.0,0.0,0.0,3.6,43.6,0.3,0.0,6.3,WR,,,-110.02499999999999,7.0600000000000005,183.0,,,,,,,,,
Greg Dortch,ARI,0.0,0.0,0.0,4.1,46.9,0.3,0.0,6.3,WR,,,-109.57,7.515000000000001,178.0,,,,,,,,,
Quez Watkins,PHI,0.0,0.0,0.0,3.7,48.9,0.2,0.0,6.2,WR,,,-110.07,7.015000000000001,184.0,,,,,,,,,
Riley Ridley,CHI,0.0,0.0,0.0,3.8,45.4,0.3,0.0,6.2,WR,,,-109.79499999999999,7.29,180.0,,,,,,,,,
Trent Sherfield,SF,0.0,0.0,0.0,3.5,45.5,0.3,0.0,6.1,WR,,,-109.86,7.225,182.0,,,,,,,,,
Jakeem Grant Sr.,MIA,1.5,8.4,0.0,3.2,35.1,0.2,0.0,5.9,WR,,,-110.735,6.3500000000000005,188.0,,,,,,,,,
Chester Rogers,TEN,0.0,0.0,0.0,3.9,38.0,0.3,0.0,5.7,WR,,,-110.50999999999999,6.574999999999999,186.0,,,,,,,,,
Gunner Olszewski,NE,1.8,9.7,0.1,2.8,33.8,0.2,0.0,5.7,WR,,,-110.235,6.85,185.0,,,,,,,,,
